ID,Created,QA Name,Agent ID,Operation,Customer Account Number,Interaction Number,Interaction Type,Date of Interaction,Time of Interaction,Was the Value of the credit accurate?,How much compensation WAS given by the Agent?,How much compensation SHOULD the Agent have given?,What Credit Code was used?,Was the Credit Code used correctly?,What credit code should have been used?,Were credit rules followed as per Support?,Failure reasons,Commentary for Credit adherence,Appealed?,What was appealed?,Tech M Appeal Comments,Initial Appeal Decision,Reasons for Initial Appeal Outcome Decision,Re-appeal?,Re-appeal comments,Final UK Position,Final UK Position commentary,Object ID/Title of Process,What have we amended from orignal audit?,Created_Date,Credit_given,Credit_Amount_Correct
1,03/05/2024 11:56,employee_17,35077,Airtime Payment Support,968966110,00CMKDLLS0A5B6L71UM362LAES1JCTMA,Voice,01/05/2024,08:03:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","Support advises that 'B2C - Non-DD fee credit' code should be used however this isn't currently an available option in Amdocs.
The agent selected B2B Non DD fee credit to resolve this. 
£5 credit applied to waive the DD charge.",No,,,,,,,,,,,03/05/2024,5.0,5.0
2,03/05/2024 13:02,employee_17,65604,Airtime Payment Support,986108473,01R76FLGCCA5B43MBUM362LAES0F0QNP,Voice,02/05/2024,18:23:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","£5 credit applied correctly to waive non DD fee. 
Support advises that B2C non DD fee should be applied however this isn't currently an option in Amdocs.",No,,,,,,,,,,,03/05/2024,5.0,5.0
3,03/05/2024 14:21,employee_17,49014,Airtime Payment Support,984358328,00CMKDLLS0A5B6L71UM362LAES1JIL83,Voice,01/05/2024,18:23:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]","£5 non DD fee credit applied correctly.
B2B Non DD fee used since there's no option on Amdocs for B2C.",No,,,,,,,,,,,03/05/2024,5.0,5.0
4,03/05/2024 14:58,employee_17,51838,Airtime Payment Support,982490713,00CMKDLLS0A5B6L71UM362LAES1JGS3D,Voice,01/05/2024,14:34:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]",£5 non DD credit applied correctly.,No,,,,,,,,,,,03/05/2024,5.0,5.0
5,03/05/2024 15:51,employee_17,56744,Airtime Payment Support,56744,01R76FLGCCA5B43MBUM362LAES0F0TKO,Voice,01/05/2024,19:14:00,,5,5,Goodwill-Direct Debit Fee,yes,Goodwill-Direct Debit Fee,Yes,"[""N/A - No Fails""]",£5 non DD credit applied correctly.,No,,,,,,,,,,,03/05/2024,5.0,5.0
6,07/05/2024 12:20,employee_15,88265,DF Payment Support,982518430,01R76FLGCCA5B43MBUM362LAES0F08FQ,Voice,01/05/2024,14:00:00,,36.18,36.18,Goodwill-Out Of Bundle Usage,yes,N/A - Credit Code Correct,Yes,"[""N/A - No Fails""]","Scenario:

Customer had been on holiday and briefly had his handset on and incurred out of bundle expenses of £36.18 due to this. Did not believe that he should pay. Advisor offered 50% (£18.09.). Customer unhappy, offered the full amount of OOB.

 - Are we aligned or not aligned with the applied credit? Yes
 - Is there a support article that supports the credit being applied? Yes - Managing billing disputes (Amdocs B2C)
 - Which part of the article supports the decision? 

“If the customer is disputing for the first time or no OOB credit offered within the current contract term, check the amount the customer is disputing and follow the relevant steps:

First time dispute or no OOB credit offered

Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount”

 - If unaligned, what aspect was unaligned? – N/A
 - Was any empowerment used? – N/A – process used as normal (advisor is empowered up to £100 as a normal part of the process)",No,,,,,,,,,,,07/05/2024,36.18,36.18
7,08/05/2024 10:59,employee_3,22159,Complaints,109304459,01R76FLGCCA5B43MBUM362LAES0F62VD,Voice,05/05/2024,10:33:00,Yes,17.25,17.25,Goodwill-Delivery delay,no - wrong code used,Correctional-Mis-selling,Yes,"[""N/A - No Fails""]","Overturned by BB before distribution to TechM. Credit is aligned as per learnings.

Aligned with the credit. Wrong credit code is used (B2B - Delivery Delay) When the correct code should have been (B2C - Missell in store amount to be offered)

The customer threatens to take the complaint to the Ombudsman at 22:37 on the call. 

Support article that the complaint relates too: Mis-selling (CET – Amdocs B2C)
Last updated 26/04/2024
Object ID 220634

The agent has closed the account under the wrong cease code: The policy states - ""Sim only contract: Arrange for a 14 Day Money Back Guarantee disconnection using the reason code: HS/MBB 14DMBG. To disconnect the account follow this process""

Empowerment - Complaints Language Used",No,,,,,,,,,,,08/05/2024,17.25,17.25
8,08/05/2024 11:37,employee_3,74284,Complaints,980713773,00CMKDLLS0A5B6L71UM362LAES1JEGPS,Voice,01/05/2024,11:35:00,Yes,28.64,28.64,Goodwill-Out Of Bundle Usage,yes,Goodwill-Out Of Bundle Usage,Yes,"[""N/A - No Fails""]","Aligned with the credit as per support. 

Support Article: Managing billing disputes (Amdocs B2C)
Last updated 29/04/2024
Object ID 208119

Conditions and the OOB matrix are followed.

Empowerment Used - N/A

OOB charges between £10.01 - £60
Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount	

Example:
OOB/ETB Charge: £60
Eligible refund:
Step 1: £30
Step 2: £60",No,,,,,,,,,,,08/05/2024,28.64,28.64
9,08/05/2024 13:15,employee_3,69728,Complaints,975104439,028K5E5G2KA5B9P8O76362LAES00VMR2,Voice,01/05/2024,15:12:00,No,54.17,58.5,Goodwill-Poor Service-Three,yes,Correctional-ETF/EUF/Cancellation,Yes,"[""N/A - No Fails"",""Below credit thresholds - Gave customer too little credit""]","Unaligned with the credit (Reason is that the advisor applying the credit gave too little)

Empowerment used - Against Policy

Against the Coverage policy as since 24 hours have passed since last resolved, a new resolve check must be used in order to follow a CP drop down.

Noted on the account via a case from 26/02/2024 that C8 was given, PAC offered and the customer was informed that we'd waive off 60% of her ETF and she will pay remaining amount from the final bill.

60% of the ETF (£97.42) would have been a credit of £58.50 (Rounding up) - Advisor has given too little credit in this instance.

Unable to find evidence of the call from Vaibhav Thute on 26/02 where the customer was told that she had to only pay around £20 for her final bill.

Resolve Link - http://resolve.corpuk.net/resolve/service/wiki/view/LTE/
VoiceDiagnostic?PROBLEMID=40280e3c8de37c28018de584272f1987

The agent from 26/02 has followed the wrong CP drop down, there is no mention of a 60% waiver under CP2 for ETF, normal cancellation process must be followed if the customer refused a credit (CP2) 

Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)
Last updated 29/04/2024
Object ID 219801",Yes,"[""Credit Adherence accuracy"",""Credit Code accuracy""]","Credit Adherence - Valid Credit - Customer was promised a waiver on the account by CRT on the final bill and same was updated on the notes to waive off £ 70.14, but advisor took customers word that she was told that she will only pay 20gbp as a last bill, hence the advisor kept the balance of 20gbp on the last bill and waived off the balance on the account.

Code Adherence - ETF waiver codes were not available on Amdocs till 2nd May, hence the advisor did not have the option to use ETF credit code
Briefing went live on 3rd May - Updated guidance on Credit Codes - Object ID 253577",Remains Unjustified,"Adherence - Another resolve check needed to be ran to get the new CP code. The Agent gave too little credit, which is a broken promise as this was agreed to by the customer. Agent provided credit without adequately investigating. 

Code - Overturned due to non-availability.",Yes,"This was a repeat call to CC. The customer had previously spoken to CRT, and coverage checks had already been completed. An offer was made to the customer, which needed to be honoured. The advisor followed through with this and accepted the customer's statement that she had been informed she would pay not more than £20 as per the last bill. The advisor applied a £20 balance and waived the remaining amount, to which the customer agreed. This resolution allowed for the closure of the complaint and helped avoid further impact on the service experience. Account was already cancelled, as customer used pac, hence resolbve couldnt be ran.",Overturned,After investigation it's clear that a credit was promised.,,"Changed credit code adherence to ""Yes"" and changed credit justification to ""Yes""",08/05/2024,54.17,58.5
10,08/05/2024 14:41,employee_3,17345,Complaints,962759703,00BTHJLFDGA5B31N2J6362LAES00VQR0,Voice,03/05/2024,19:50:00,No,19.19,0,Correctional-Activation Delay,no - wrong code used,Goodwill-Out Of Bundle Usage,Yes,"[""Proactively offered credit "",""Credit provided when no credit was due""]","Wrong credit code used - Delayed Access to Services used 

Unaligned with the given credit of £19.19 - The advisor mentions this is for data charges. 

Support article to follow: Managing billing disputes (Amdocs B2C)

Article Evidence: If the customer was offered a credit in the same contract term, they’ll not be eligible for another one. OOB credits are limited to once per contract term, until the customer upgrades the contract and starts a new contract term.

Advisor has used a different credit code on the account - even though the credit is for OOB data usage. The credit of £100 was previously applied and refunded to the customer for OOB charges on 22/04/2024 (manual credit) + 26/04/2024 (Refund).

Empowerment abused - Empowerment Against Policy.",Yes,"[""Credit Adherence accuracy""]",Credit Adherence - Valid Credit - Exception offered by Intercept Team,Overturned,"Adherence - Aligned and overturned. Intercept did offer, so applied as promised.",,,,,,"Changed adherence question to ""Yes"".",08/05/2024,19.19,0.0
